def(BF_PTR2),!def(BF_PTR2)
def(DEBUG),True
!def(SOLARIS),True
True,def(AIX)
!def(OSSECHIDS),True
!def(OSSECHIDS),def(OSSECHIDS)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
def(WIN32),True
!def(OSSECHIDS),!def(WIN32)
!def(SOLARIS),def(OSSECHIDS)
True,!def(OSSECHIDS)
!def(LOCAL),True
True,def(WIN32)
def(OSSECHIDS),True
True,!def(WIN32)
def(__OpenBSD__),True
def(OSSECHIDS),!def(WIN32)
True,def(OSSECHIDS)
def(WIN32),!def(WIN32)
True,!def(BF_DEFAULT_OPTIONS)
def(SOLARIS),def(OSSECHIDS)
True,def(DEBUG)
!def(BF_PTR2),def(BF_PTR2)
!def(LOCAL),!def(WIN32)
!def(BF_DEFAULT_OPTIONS),True
!def(WIN32),True
