!def(SOLARIS),def(OSSECHIDS)
def(SOLARIS),def(OSSECHIDS)
def(WIN32),True
!def(BF_PTR2),def(BF_PTR2)
def(OSSECHIDS),def(WIN32)
!def(OSSECHIDS),!def(WIN32)
!def(BF_DEFAULT_OPTIONS),True
True,(!def(ASM_MD5)&!def(HIGHFIRST))
!def(OSSECHIDS),True
!def(OSSECHIDS),def(OSSECHIDS)
def(DEBUG),True
!def(LOCAL),True
True,!def(WIN32)
True,!def(OSSECHIDS)
def(OSSECHIDS),True
def(__OpenBSD__),True
!def(LOCAL),def(WIN32)
True,!def(BF_DEFAULT_OPTIONS)
True,def(WIN32)
True,def(AIX)
!def(WIN32),True
def(BF_PTR2),!def(BF_PTR2)
True,def(OSSECHIDS)
