!def(BF_PTR2),def(BF_PTR2)
!def(OSSECHIDS),def(OSSECHIDS)
def(WIN32),True
def(OSSECHIDS),def(WIN32)
True,def(OSSECHIDS)
def(__OpenBSD__),True
def(BF_PTR2),!def(BF_PTR2)
def(SOLARIS),def(OSSECHIDS)
True,def(WIN32)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
True,!def(OSSECHIDS)
!def(SOLARIS),def(OSSECHIDS)
!def(BF_DEFAULT_OPTIONS),True
!def(LOCAL),def(WIN32)
def(DEBUG),True
True,!def(WIN32)
!def(OSSECHIDS),True
!def(LOCAL),True
True,!def(BF_DEFAULT_OPTIONS)
True,def(AIX)
!def(WIN32),True
def(OSSECHIDS),True
!def(OSSECHIDS),!def(WIN32)
