!def(BF_PTR2),def(BF_PTR2)
def(SOLARIS),def(OSSECHIDS)
def(DEBUG),True
def(WIN32),True
True,def(WIN32)
!def(BF_DEFAULT_OPTIONS),True
True,def(OSSECHIDS)
True,!def(OSSECHIDS)
!def(LOCAL),True
True,!def(WIN32)
True,def(DEBUG)
True,def(AIX)
def(BF_PTR2),!def(BF_PTR2)
def(__OpenBSD__),True
!def(OSSECHIDS),!def(WIN32)
!def(SOLARIS),True
!def(OSSECHIDS),def(OSSECHIDS)
def(OSSECHIDS),True
!def(WIN32),True
!def(OSSECHIDS),True
!def(WIN32),!def(OSSECHIDS)
def(OSSECHIDS),!def(WIN32)
def(WIN32),!def(WIN32)
True,!def(BF_DEFAULT_OPTIONS)
!def(SOLARIS),def(OSSECHIDS)
!def(LOCAL),!def(WIN32)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
