def(BF_PTR2),!def(BF_PTR2)
!def(OSSECHIDS),True
def(WIN32),!def(WIN32)
!def(SOLARIS),True
!def(LOCAL),True
!def(OSSECHIDS),!def(WIN32)
!def(WIN32),True
True,(!def(ASM_MD5)&!def(HIGHFIRST))
def(SOLARIS),def(OSSECHIDS)
True,!def(BF_DEFAULT_OPTIONS)
def(OSSECHIDS),!def(WIN32)
True,def(WIN32)
True,!def(OSSECHIDS)
def(WIN32),True
def(OSSECHIDS),True
True,def(OSSECHIDS)
!def(WIN32),!def(OSSECHIDS)
True,def(DEBUG)
!def(SOLARIS),def(OSSECHIDS)
!def(LOCAL),!def(WIN32)
True,def(AIX)
def(__OpenBSD__),True
!def(BF_DEFAULT_OPTIONS),True
def(DEBUG),True
True,!def(WIN32)
!def(OSSECHIDS),def(OSSECHIDS)
!def(BF_PTR2),def(BF_PTR2)
