!def(OSSECHIDS),!def(WIN32)
!def(OSSECHIDS),def(OSSECHIDS)
!def(WIN32),True
True,!def(WIN32)
True,def(WIN32)
True,!def(OSSECHIDS)
def(__OpenBSD__),True
def(OSSECHIDS),def(WIN32)
!def(OSSECHIDS),True
!def(LOCAL),def(WIN32)
def(DEBUG),True
!def(BF_DEFAULT_OPTIONS),True
!def(BF_PTR2),def(BF_PTR2)
!def(LOCAL),True
!def(SOLARIS),def(OSSECHIDS)
True,def(AIX)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
True,def(OSSECHIDS)
True,!def(BF_DEFAULT_OPTIONS)
def(SOLARIS),def(OSSECHIDS)
def(WIN32),True
def(BF_PTR2),!def(BF_PTR2)
def(OSSECHIDS),True
