!def(HAVE_ERFC),
def(RELEASE_VERSION),
!def(PROTOTYPES),
def(TEST_TIME),
def(PM3D),
def(BADRAND),
!def(GP_ISVAR),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(MSDOS),
def(BITMAPDEBUG),
!def(BITMAPDEBUG),
True,
!def(HAVE_ERF),
def(USE_SYSTEM_TIME),
def(PIPES),
def(TEST_TERMDOC),
def(TEST_STRFTIME),
!def(LITE),
!def(MSDOS),
def(PROTOTYPES),
!def(BADRAND),
def(__ZTC__),
!def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
!def(lint),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
!def(USE_SYSTEM_TIME),
def(USE_MOUSE),
def(_Windows),
def(VMS),
(def(VMS)&!def(MSDOS)),
