!def(LITE),
def(__ZTC__),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(_Windows),
def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)),
!def(BITMAPDEBUG),
!def(NO_LOCALE_H),
def(MSDOS),
def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TERMDOC),
!def(HAVE_ERF),
!def(HAVE_ERFC),
(def(VMS)&!def(BSD)),
True,
!def(lint),
def(BITMAPDEBUG),
def(TEST_TIME),
(!def(MSDOS)&!def(VMS)),
def(PIPES),
!def(USE_SYSTEM_TIME),
def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
!def(BADRAND),
!def(MSDOS),
def(VMS),
