!def(HAVE_ERFC),
!def(BITMAPDEBUG),
!def(RELEASE_VERSION),
def(USE_MOUSE),
def(PROTOTYPES),
def(BITMAPDEBUG),
!def(BADRAND),
def(_Windows),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PM3D),
def(RELEASE_VERSION),
!def(HAVE_ERF),
def(PIPE_IPC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TIME),
def(TEST_STRFTIME),
!def(MSDOS),
def(PIPES),
(def(VMS)&!def(BSD)),
def(__ZTC__),
(def(VMS)&!def(MSDOS)),
def(USE_SYSTEM_TIME),
!def(LITE),
def(TEST_TERMDOC),
!def(PROTOTYPES),
True,
!def(lint),
def(MSDOS),
!def(USE_SYSTEM_TIME),
def(BADRAND),
(!def(MSDOS)&!def(VMS)),
