def(LITE),
def(TEST_TERMDOC),
def(PIPES),
(def(VMS)&!def(BSD)),
!def(HAVE_ERFC),
!def(HAVE_ERF),
def(NO_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BADRAND),
!def(BITMAPDEBUG),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_STRFTIME),
def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
def(TEST_TIME),
!def(MSDOS),
def(VMS),
def(BADRAND),
(!def(MSDOS)&!def(VMS)),
def(MSDOS),
!def(NO_LOCALE_H),
def(_Windows),
True,
def(__ZTC__),
!def(lint),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
