!def(HAVE_ERF),
def(MSDOS),
!def(NO_LOCALE_H),
(!def(MSDOS)&!def(VMS)),
def(TEST_TIME),
(def(VMS)&!def(BSD)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BADRAND),
def(TEST_STRFTIME),
!def(lint),
def(BADRAND),
def(_Windows),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(LITE),
def(PIPES),
!def(HAVE_ERFC),
!def(LITE),
def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
def(__ZTC__),
(def(VMS)&!def(MSDOS)),
def(TEST_TERMDOC),
def(BITMAPDEBUG),
True,
!def(MSDOS),
def(VMS),
def(USE_SYSTEM_TIME),
