def(TEST_TERMDOC),
def(USE_SYSTEM_TIME),
!def(LITE),
def(BITMAPDEBUG),
def(PM3D),
def(TEST_TIME),
def(TEST_STRFTIME),
def(PIPES),
def(MSDOS),
def(PIPE_IPC),
!def(lint),
!def(RELEASE_VERSION),
def(VMS),
!def(NO_LOCALE_H),
def(_Windows),
!def(HAVE_ERFC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
def(RELEASE_VERSION),
True,
!def(BADRAND),
def(__ZTC__),
!def(BITMAPDEBUG),
def(BADRAND),
!def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERF),
def(USE_MOUSE),
(def(VMS)&!def(BSD)),
def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
