!def(lint),
def(TEST_STRFTIME),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BADRAND),
!def(HAVE_ERFC),
def(TEST_TIME),
def(TEST_TERMDOC),
def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
def(PIPES),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
def(VMS),
def(__ZTC__),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(BSD)),
def(MSDOS),
!def(MSDOS),
True,
!def(HAVE_ERF),
(!def(MSDOS)&!def(VMS)),
!def(BITMAPDEBUG),
def(LITE),
def(_Windows),
def(BADRAND),
!def(NO_LOCALE_H),
