!def(RELEASE_VERSION),
!def(lint),
def(BADRAND),
!def(LITE),
(!def(MSDOS)&!def(VMS)),
!def(NO_LOCALE_H),
def(VMS),
(def(VMS)&!def(BSD)),
def(PIPE_IPC),
def(BITMAPDEBUG),
def(__ZTC__),
True,
def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_STRFTIME),
!def(USE_SYSTEM_TIME),
(def(X11)&def(USE_MOUSE)),
def(NO_LOCALE_H),
def(TEST_TERMDOC),
!def(HAVE_ERF),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERFC),
def(PM3D),
!def(BITMAPDEBUG),
def(MSDOS),
def(_Windows),
def(PIPES),
!def(MSDOS),
!def(BADRAND),
def(TEST_TIME),
def(RELEASE_VERSION),
