!def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
def(BADRAND),
(def(VMS)&!def(MSDOS)),
!def(HAVE_ERFC),
def(_Windows),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PIPES),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
def(__ZTC__),
!def(BITMAPDEBUG),
!def(BADRAND),
def(TEST_TERMDOC),
def(PM3D),
def(VMS),
!def(lint),
def(TEST_TIME),
def(USE_MOUSE),
True,
!def(LITE),
def(NO_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_STRFTIME),
def(PIPE_IPC),
!def(RELEASE_VERSION),
def(BITMAPDEBUG),
def(USE_SYSTEM_TIME),
!def(NO_LOCALE_H),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
def(MSDOS),
