def(NO_LOCALE_H),
def(PIPES),
!def(BITMAPDEBUG),
!def(MSDOS),
!def(HAVE_ERF),
!def(lint),
def(VMS),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
def(BITMAPDEBUG),
def(BADRAND),
def(_Windows),
def(TEST_STRFTIME),
def(__ZTC__),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
!def(BADRAND),
!def(HAVE_ERFC),
!def(LITE),
!def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
def(USE_SYSTEM_TIME),
def(TEST_TIME),
