!def(HAVE_ERFC),
!def(MSDOS),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
(!def(MSDOS)&!def(VMS)),
def(_Windows),
!def(lint),
!def(HAVE_ERF),
!def(BADRAND),
def(PIPES),
def(VMS),
def(MSDOS),
!def(BITMAPDEBUG),
def(BADRAND),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
True,
!def(LITE),
def(NO_LOCALE_H),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(BSD)),
def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_STRFTIME),
!def(NO_LOCALE_H),
