!def(LITE),
def(PM3D),
def(VMS),
def(_Windows),
(def(VMS)&!def(MSDOS)),
!def(BADRAND),
def(BITMAPDEBUG),
def(RELEASE_VERSION),
!def(USE_SYSTEM_TIME),
def(BADRAND),
!def(MSDOS),
!def(BITMAPDEBUG),
def(NO_LOCALE_H),
def(__ZTC__),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PIPES),
def(TEST_STRFTIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(RELEASE_VERSION),
def(PIPE_IPC),
!def(HAVE_ERF),
!def(NO_LOCALE_H),
(def(VMS)&!def(BSD)),
!def(lint),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERFC),
def(TEST_TIME),
def(TEST_TERMDOC),
True,
def(MSDOS),
def(USE_SYSTEM_TIME),
(def(X11)&def(USE_MOUSE)),
