!def(MSDOS),
!def(BITMAPDEBUG),
def(VMS),
def(PIPE_IPC),
def(MSDOS),
def(TEST_STRFTIME),
def(BADRAND),
!def(HAVE_ERFC),
def(_Windows),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PM3D),
!def(NO_LOCALE_H),
def(BITMAPDEBUG),
def(PIPES),
!def(BADRAND),
def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
!def(USE_SYSTEM_TIME),
!def(RELEASE_VERSION),
def(__ZTC__),
(def(VMS)&!def(MSDOS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(NO_LOCALE_H),
!def(LITE),
(def(VMS)&!def(BSD)),
True,
(def(X11)&def(USE_MOUSE)),
!def(HAVE_ERF),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
!def(lint),
def(TEST_TERMDOC),
