def(BADRAND),
!def(BITMAPDEBUG),
def(_Windows),
!def(RELEASE_VERSION),
(def(X11)&def(USE_MOUSE)),
!def(MSDOS),
!def(USE_SYSTEM_TIME),
!def(HAVE_ERFC),
def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(VMS),
def(TEST_TIME),
!def(LITE),
def(PIPES),
!def(NO_LOCALE_H),
def(MSDOS),
def(PM3D),
def(NO_LOCALE_H),
!def(HAVE_ERF),
True,
def(USE_SYSTEM_TIME),
!def(lint),
(def(VMS)&!def(MSDOS)),
def(RELEASE_VERSION),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PIPE_IPC),
(def(VMS)&!def(BSD)),
(!def(MSDOS)&!def(VMS)),
!def(BADRAND),
def(TEST_STRFTIME),
def(__ZTC__),
