(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(RELEASE_VERSION),
def(TEST_STRFTIME),
def(PM3D),
!def(USE_SYSTEM_TIME),
True,
!def(EAM_HISTOGRAMS),
!def(PROTOTYPES),
(def(VMS)&!def(BSD)),
def(TEST_TERMDOC),
def(USE_MOUSE),
!def(GP_ISVAR),
def(PIPES),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(PIPE_IPC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(EAM_HISTOGRAMS),
def(MSDOS),
def(BITMAPDEBUG),
(!def(PIPE_IPC)&def(__ZTC__)),
def(_Windows),
!def(AMIGA_SC_6_1),
!def(BITMAPDEBUG),
!def(MSDOS),
def(PROTOTYPES),
!def(lint),
(!def(PIPE_IPC)&def(VMS)),
def(TEST_TIME),
def(EAM_DATASTRINGS),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(RELEASE_VERSION),
