!def(USE_SYSTEM_TIME),
!def(NO_LOCALE_H),
def(BADRAND),
def(RELEASE_VERSION),
def(VMS),
!def(lint),
def(TEST_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_STRFTIME),
def(_Windows),
!def(BITMAPDEBUG),
!def(BADRAND),
def(__ZTC__),
!def(HAVE_ERFC),
!def(MSDOS),
def(PM3D),
def(MSDOS),
!def(HAVE_ERF),
True,
def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
def(NO_LOCALE_H),
(def(VMS)&!def(BSD)),
!def(LITE),
def(PIPES),
def(TEST_TERMDOC),
!def(RELEASE_VERSION),
