!def(AMIGA_SC_6_1),
def(GP_MACROS),
!def(EAM_HISTOGRAMS),
def(PIPES),
def(EAM_DATASTRINGS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TERMDOC),
def(TEST_TIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(lint),
!def(USE_SYSTEM_TIME),
!def(LITE),
(!def(PIPE_IPC)&def(VMS)),
def(GP_ISVAR),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(USE_MOUSE),
!def(PROTOTYPES),
def(MSDOS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(PM3D),
(def(VMS)&!def(MSDOS)),
!def(GP_ISVAR),
def(TEST_STRFTIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(EAM_HISTOGRAMS),
def(PIPE_IPC),
(!def(PIPE_IPC)&def(__ZTC__)),
!def(BINARY_DATA_FILE),
!def(RELEASE_VERSION),
def(PROTOTYPES),
!def(BITMAPDEBUG),
def(_Windows),
def(RELEASE_VERSION),
def(BINARY_DATA_FILE),
def(GP_STRING_VARS),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
True,
