!def(lint),
def(__ZTC__),
def(BADRAND),
def(TEST_TIME),
def(BITMAPDEBUG),
!def(NO_LOCALE_H),
!def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
def(MSDOS),
def(TEST_STRFTIME),
def(PIPES),
(def(VMS)&!def(MSDOS)),
def(NO_LOCALE_H),
def(USE_SYSTEM_TIME),
!def(BADRAND),
!def(HAVE_ERFC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(MSDOS)&!def(VMS)),
True,
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TERMDOC),
!def(LITE),
!def(USE_SYSTEM_TIME),
def(_Windows),
def(VMS),
!def(MSDOS),
!def(HAVE_ERF),
