def(__ZTC__),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(lint),
def(RELEASE_VERSION),
def(MSDOS),
def(TEST_TIME),
def(USE_SYSTEM_TIME),
def(PIPES),
def(_Windows),
(def(VMS)&!def(BSD)),
!def(LITE),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
def(PROTOTYPES),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
!def(BADRAND),
!def(HAVE_ERFC),
def(TEST_STRFTIME),
def(VMS),
!def(MSDOS),
!def(PROTOTYPES),
def(TEST_TERMDOC),
def(USE_MOUSE),
def(BITMAPDEBUG),
!def(HAVE_ERF),
def(BADRAND),
!def(BITMAPDEBUG),
def(PM3D),
!def(RELEASE_VERSION),
