!def(HAVE_ERF),
def(PIPE_IPC),
def(USE_SYSTEM_TIME),
!def(BADRAND),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(VMS),
def(BADRAND),
def(PIPES),
(!def(MSDOS)&!def(VMS)),
def(RELEASE_VERSION),
True,
!def(NO_LOCALE_H),
!def(HAVE_ERFC),
def(PM3D),
(def(X11)&def(USE_MOUSE)),
!def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(__ZTC__),
def(TEST_TIME),
def(BITMAPDEBUG),
!def(lint),
def(NO_LOCALE_H),
!def(BITMAPDEBUG),
def(TEST_STRFTIME),
def(MSDOS),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)),
def(_Windows),
!def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
!def(MSDOS),
