!def(BADRAND),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(VMS),
def(TEST_STRFTIME),
(!def(MSDOS)&!def(VMS)),
def(NO_LOCALE_H),
def(BADRAND),
def(__ZTC__),
!def(USE_SYSTEM_TIME),
def(PIPES),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
True,
!def(BITMAPDEBUG),
def(_Windows),
(def(VMS)&!def(BSD)),
def(TEST_TERMDOC),
!def(HAVE_ERFC),
!def(MSDOS),
!def(NO_LOCALE_H),
!def(lint),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
!def(LITE),
(def(VMS)&!def(MSDOS)),
!def(HAVE_ERF),
def(MSDOS),
