!def(lint),
!def(MSDOS),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
!def(BADRAND),
def(BITMAPDEBUG),
def(_Windows),
!def(HAVE_ERFC),
!def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(BADRAND),
(def(VMS)&!def(BSD)),
def(MSDOS),
!def(HAVE_ERF),
def(PM3D),
def(PIPES),
def(NO_LOCALE_H),
True,
def(__ZTC__),
def(TEST_TERMDOC),
!def(NO_LOCALE_H),
def(PIPE_IPC),
(!def(MSDOS)&!def(VMS)),
def(VMS),
(def(X11)&def(USE_MOUSE)),
def(TEST_STRFTIME),
def(RELEASE_VERSION),
!def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
