!def(BITMAPDEBUG),
def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(USE_MOUSE),
def(TEST_STRFTIME),
def(VMS),
def(NO_LOCALE_H),
def(TEST_TERMDOC),
!def(NO_LOCALE_H),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
True,
!def(HAVE_ERF),
!def(RELEASE_VERSION),
def(_Windows),
!def(lint),
(def(VMS)&!def(MSDOS)),
!def(MSDOS),
def(PM3D),
def(BADRAND),
def(USE_SYSTEM_TIME),
!def(HAVE_ERFC),
def(PIPES),
def(BITMAPDEBUG),
!def(BADRAND),
def(TEST_TIME),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
def(__ZTC__),
!def(LITE),
