!def(BADRAND),
!def(HAVE_ERFC),
def(TEST_TERMDOC),
!def(HAVE_ERF),
!def(lint),
def(BADRAND),
def(NO_LOCALE_H),
def(RELEASE_VERSION),
def(__ZTC__),
(def(VMS)&!def(BSD)),
!def(USE_SYSTEM_TIME),
!def(RELEASE_VERSION),
def(PM3D),
!def(NO_LOCALE_H),
def(TEST_TIME),
def(VMS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(USE_SYSTEM_TIME),
def(PIPE_IPC),
!def(MSDOS),
def(PIPES),
True,
(def(VMS)&!def(MSDOS)),
def(USE_MOUSE),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(MSDOS)&!def(VMS)),
def(BITMAPDEBUG),
!def(LITE),
def(TEST_STRFTIME),
!def(BITMAPDEBUG),
def(MSDOS),
