def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)),
def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
def(TEST_STRFTIME),
!def(lint),
def(BADRAND),
def(MSDOS),
def(TEST_TERMDOC),
def(PM3D),
!def(LITE),
!def(RELEASE_VERSION),
!def(BADRAND),
!def(NO_LOCALE_H),
True,
(def(VMS)&!def(BSD)),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(__ZTC__),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(RELEASE_VERSION),
def(VMS),
def(TEST_TIME),
def(_Windows),
!def(USE_SYSTEM_TIME),
!def(MSDOS),
def(PIPES),
!def(BITMAPDEBUG),
