!def(HAVE_ERF),
!def(RELEASE_VERSION),
!def(BITMAPDEBUG),
def(RELEASE_VERSION),
def(VMS),
def(USE_SYSTEM_TIME),
def(PM3D),
def(TEST_TIME),
!def(BADRAND),
def(__ZTC__),
!def(USE_SYSTEM_TIME),
!def(lint),
!def(PROTOTYPES),
def(PIPE_IPC),
def(BITMAPDEBUG),
True,
def(MSDOS),
def(BADRAND),
!def(HAVE_ERFC),
(def(VMS)&!def(BSD)),
!def(LITE),
def(_Windows),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(MSDOS),
def(TEST_STRFTIME),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PROTOTYPES),
def(PIPES),
def(TEST_TERMDOC),
def(USE_MOUSE),
