!def(lint),
!def(MSDOS),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
def(PIPES),
def(TEST_TIME),
!def(GP_ISVAR),
def(VMS),
!def(RELEASE_VERSION),
def(__ZTC__),
def(USE_SYSTEM_TIME),
def(PROTOTYPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)),
def(TEST_TERMDOC),
def(PIPE_IPC),
def(USE_MOUSE),
def(BITMAPDEBUG),
def(MSDOS),
def(TEST_STRFTIME),
def(PM3D),
(!def(MSDOS)&!def(VMS)),
!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
!def(PROTOTYPES),
!def(LITE),
