!def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
def(MSDOS),
def(_Windows),
def(VMS),
!def(HAVE_ERFC),
!def(MSDOS),
True,
!def(BADRAND),
!def(lint),
!def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
!def(LITE),
def(LITE),
!def(NO_LOCALE_H),
def(USE_SYSTEM_TIME),
def(BADRAND),
def(BITMAPDEBUG),
def(PIPES),
(def(VMS)&!def(BSD)),
def(TEST_TIME),
def(__ZTC__),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_STRFTIME),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(NO_LOCALE_H),
