!def(lint),
def(BITMAPDEBUG),
def(PIPE_IPC),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(MSDOS),
!def(RELEASE_VERSION),
!def(HAVE_ERF),
True,
def(TEST_TERMDOC),
!def(NO_LOCALE_H),
def(MSDOS),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(__ZTC__),
(def(VMS)&!def(MSDOS)),
def(PM3D),
def(TEST_TIME),
def(RELEASE_VERSION),
!def(USE_SYSTEM_TIME),
def(USE_MOUSE),
(def(VMS)&!def(BSD)),
def(_Windows),
def(BADRAND),
def(PIPES),
def(NO_LOCALE_H),
!def(BITMAPDEBUG),
def(TEST_STRFTIME),
!def(HAVE_ERFC),
(!def(MSDOS)&!def(VMS)),
!def(BADRAND),
def(USE_SYSTEM_TIME),
