!def(RELEASE_VERSION),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
def(_Windows),
!def(lint),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
!def(HAVE_ERF),
def(TEST_TIME),
def(MSDOS),
!def(MSDOS),
!def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
def(USE_SYSTEM_TIME),
def(__ZTC__),
!def(HAVE_ERFC),
def(BADRAND),
def(TEST_TERMDOC),
def(BITMAPDEBUG),
!def(NO_LOCALE_H),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(NO_LOCALE_H),
def(PM3D),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(X11)&def(USE_MOUSE)),
def(VMS),
!def(LITE),
True,
!def(BADRAND),
def(PIPES),
