def(NO_LOCALE_H),
!def(RELEASE_VERSION),
!def(NO_LOCALE_H),
!def(lint),
def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(VMS),
!def(LITE),
def(TEST_STRFTIME),
def(BITMAPDEBUG),
!def(BITMAPDEBUG),
def(MSDOS),
def(_Windows),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BADRAND),
!def(MSDOS),
def(TEST_TIME),
def(USE_MOUSE),
def(PIPES),
def(PM3D),
def(PIPE_IPC),
True,
(def(VMS)&!def(MSDOS)),
!def(HAVE_ERF),
(def(VMS)&!def(BSD)),
!def(HAVE_ERFC),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
(!def(MSDOS)&!def(VMS)),
def(BADRAND),
