!def(HAVE_ERF),
def(BADRAND),
def(PIPE_IPC),
!def(NO_LOCALE_H),
!def(BADRAND),
!def(lint),
def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
def(TEST_STRFTIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
def(PM3D),
def(__ZTC__),
def(TEST_TIME),
!def(HAVE_ERFC),
(def(X11)&def(USE_MOUSE)),
True,
def(TEST_TERMDOC),
def(PIPES),
!def(USE_SYSTEM_TIME),
def(_Windows),
!def(MSDOS),
def(MSDOS),
!def(RELEASE_VERSION),
def(BITMAPDEBUG),
def(VMS),
(!def(MSDOS)&!def(VMS)),
!def(BITMAPDEBUG),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(MSDOS)),
def(NO_LOCALE_H),
