!def(LITE),
def(BITMAPDEBUG),
def(TEST_STRFTIME),
def(BADRAND),
def(PIPES),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(RELEASE_VERSION),
!def(HAVE_ERFC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
def(USE_MOUSE),
!def(BADRAND),
def(_Windows),
def(VMS),
!def(lint),
!def(BITMAPDEBUG),
def(TEST_TERMDOC),
True,
!def(HAVE_ERF),
def(MSDOS),
def(TEST_TIME),
!def(USE_SYSTEM_TIME),
def(PIPE_IPC),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
(def(VMS)&!def(MSDOS)),
def(__ZTC__),
def(PM3D),
