!def(BADRAND),
def(TEST_TERMDOC),
True,
def(BITMAPDEBUG),
def(MSDOS),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
!def(NO_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(LITE),
(def(VMS)&!def(BSD)),
(def(X11)&def(USE_MOUSE)),
!def(HAVE_ERF),
!def(MSDOS),
def(_Windows),
!def(RELEASE_VERSION),
def(PIPE_IPC),
def(PM3D),
(!def(MSDOS)&!def(VMS)),
def(TEST_STRFTIME),
def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
def(VMS),
!def(lint),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(NO_LOCALE_H),
def(TEST_TIME),
(def(VMS)&!def(MSDOS)),
def(BADRAND),
!def(HAVE_ERFC),
def(PIPES),
def(__ZTC__),
