!def(USE_SYSTEM_TIME),
def(BADRAND),
def(PIPE_IPC),
!def(BADRAND),
def(VMS),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(MSDOS)),
def(USE_MOUSE),
def(_Windows),
!def(RELEASE_VERSION),
!def(MSDOS),
!def(BITMAPDEBUG),
def(MSDOS),
def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
True,
def(TEST_STRFTIME),
!def(HAVE_ERF),
!def(lint),
!def(HAVE_ERFC),
def(PIPES),
(def(VMS)&!def(BSD)),
def(TEST_TIME),
def(BITMAPDEBUG),
def(PM3D),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(LITE),
!def(NO_LOCALE_H),
def(NO_LOCALE_H),
def(TEST_TERMDOC),
def(__ZTC__),
