!def(BADRAND),
def(NO_LOCALE_H),
def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
!def(lint),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
def(PIPES),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
def(USE_SYSTEM_TIME),
def(TEST_TIME),
def(MSDOS),
!def(NO_LOCALE_H),
def(VMS),
!def(BITMAPDEBUG),
def(__ZTC__),
def(TEST_STRFTIME),
!def(HAVE_ERF),
!def(LITE),
def(_Windows),
def(TEST_TERMDOC),
!def(HAVE_ERFC),
def(BADRAND),
def(LITE),
