!def(HAVE_ERF),
def(TEST_TERMDOC),
def(TEST_TIME),
True,
!def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
def(LITE),
def(NO_LOCALE_H),
def(MSDOS),
def(__ZTC__),
def(TEST_STRFTIME),
def(PIPES),
def(BADRAND),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(NO_LOCALE_H),
!def(BADRAND),
!def(lint),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(BITMAPDEBUG),
def(_Windows),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(BSD)),
!def(LITE),
def(VMS),
(def(VMS)&!def(MSDOS)),
!def(HAVE_ERFC),
!def(MSDOS),
