def(BADRAND),
!def(HAVE_ERF),
(!def(MSDOS)&!def(VMS)),
!def(RELEASE_VERSION),
def(PM3D),
!def(LITE),
def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
def(TEST_TIME),
!def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TERMDOC),
def(PIPES),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
!def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(MSDOS),
!def(NO_LOCALE_H),
def(BITMAPDEBUG),
def(__ZTC__),
(def(X11)&def(USE_MOUSE)),
!def(lint),
True,
!def(MSDOS),
def(VMS),
!def(USE_SYSTEM_TIME),
def(PIPE_IPC),
def(TEST_STRFTIME),
(def(VMS)&!def(MSDOS)),
def(_Windows),
!def(HAVE_ERFC),
