!def(RELEASE_VERSION),
def(TEST_STRFTIME),
(def(VMS)&!def(BSD)),
def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)),
!def(USE_SYSTEM_TIME),
!def(NO_LOCALE_H),
def(NO_LOCALE_H),
(!def(MSDOS)&!def(VMS)),
!def(BITMAPDEBUG),
def(BADRAND),
def(PIPES),
!def(LITE),
(def(X11)&def(USE_MOUSE)),
def(TEST_TIME),
!def(lint),
!def(BADRAND),
def(TEST_TERMDOC),
def(USE_SYSTEM_TIME),
def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERFC),
def(_Windows),
!def(MSDOS),
def(VMS),
def(RELEASE_VERSION),
True,
def(__ZTC__),
!def(HAVE_ERF),
def(PM3D),
def(PIPE_IPC),
