!def(OSK),
def(UNIXPLOT),
def(SYSTEM_TIME),
(!def(_Windows)&def(__TURBOC__)),
def(HAVE_SYS_UTSNAME_H),
def(TEST_STRFTIME),
!def(LITE),
def(NO_LOCALE_H),
!def(SYSTEM_TIME),
def(LITE),
def(VMS),
def(DJGPP),
!def(MSDOS),
def(TEST_TERMDOC),
True,
!def(NO_LOCALE_H),
def(TEST_TIME),
!def(lint),
def(_Windows),
def(__ZTC__),
