!def(HAVE_ERFC),
def(BITMAPDEBUG),
def(PIPE_IPC),
def(PIPES),
def(_Windows),
def(TEST_TIME),
!def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(VMS),
def(PROTOTYPES),
!def(BITMAPDEBUG),
def(PM3D),
!def(HAVE_ERF),
def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
!def(LITE),
(def(VMS)&!def(BSD)),
(!def(MSDOS)&!def(VMS)),
!def(lint),
def(MSDOS),
def(__ZTC__),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(PROTOTYPES),
!def(RELEASE_VERSION),
def(TEST_TERMDOC),
True,
def(BADRAND),
def(USE_MOUSE),
def(RELEASE_VERSION),
!def(BADRAND),
!def(MSDOS),
(def(VMS)&!def(MSDOS)),
