!def(HAVE_ERFC),
(!def(MSDOS)&!def(VMS)),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
True,
def(PIPE_IPC),
!def(BADRAND),
def(TEST_TERMDOC),
def(BADRAND),
!def(lint),
def(PIPES),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(HAVE_ERF),
def(TEST_STRFTIME),
def(MSDOS),
!def(MSDOS),
!def(NO_LOCALE_H),
def(_Windows),
def(NO_LOCALE_H),
def(__ZTC__),
!def(RELEASE_VERSION),
def(PM3D),
(def(X11)&def(USE_MOUSE)),
def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
!def(LITE),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
def(VMS),
