def(PROTOTYPES),
def(RELEASE_VERSION),
def(USE_MOUSE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(RELEASE_VERSION),
!def(PROTOTYPES),
!def(MSDOS),
def(TEST_STRFTIME),
(def(VMS)&!def(BSD)),
!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
def(BITMAPDEBUG),
def(TEST_TIME),
def(__ZTC__),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
def(TEST_TERMDOC),
def(PM3D),
!def(LITE),
def(PIPES),
(def(VMS)&!def(MSDOS)),
def(_Windows),
!def(GP_ISVAR),
True,
!def(lint),
def(USE_SYSTEM_TIME),
def(VMS),
def(MSDOS),
