!def(RELEASE_VERSION),
def(__ZTC__),
def(VMS),
(!def(MSDOS)&!def(VMS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(lint),
def(MSDOS),
def(PM3D),
def(TEST_TERMDOC),
def(PIPES),
def(_Windows),
(def(VMS)&!def(BSD)),
!def(LITE),
!def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
def(BADRAND),
!def(HAVE_ERFC),
def(TEST_STRFTIME),
def(NO_LOCALE_H),
def(USE_MOUSE),
True,
def(TEST_TIME),
!def(BITMAPDEBUG),
!def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
def(RELEASE_VERSION),
!def(HAVE_ERF),
def(PIPE_IPC),
!def(BADRAND),
!def(NO_LOCALE_H),
