!def(HAVE_ERF),
(def(VMS)&!def(MSDOS)),
!def(PROTOTYPES),
!def(BADRAND),
def(USE_MOUSE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_SYSTEM_TIME),
!def(LITE),
def(TEST_TERMDOC),
def(BADRAND),
def(BITMAPDEBUG),
def(_Windows),
def(PIPE_IPC),
def(TEST_STRFTIME),
!def(HAVE_ERFC),
def(PROTOTYPES),
!def(lint),
def(PIPES),
def(PM3D),
def(TEST_TIME),
def(VMS),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
True,
def(__ZTC__),
!def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(RELEASE_VERSION),
def(MSDOS),
