!def(BITMAPDEBUG),
def(TEST_TERMDOC),
def(RELEASE_VERSION),
def(PM3D),
!def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
!def(USE_SYSTEM_TIME),
def(_Windows),
def(__ZTC__),
!def(MSDOS),
!def(LITE),
def(TEST_TIME),
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
def(USE_MOUSE),
def(TEST_STRFTIME),
!def(HAVE_ERF),
def(PIPE_IPC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
!def(RELEASE_VERSION),
!def(lint),
def(BADRAND),
def(BITMAPDEBUG),
def(MSDOS),
def(VMS),
!def(HAVE_ERFC),
def(PIPES),
(def(VMS)&!def(MSDOS)),
