!def(HAVE_ERF),
!def(NO_LOCALE_H),
def(TEST_TIME),
def(_Windows),
def(MSDOS),
(def(VMS)&!def(BSD)),
def(BITMAPDEBUG),
def(NO_LOCALE_H),
!def(BADRAND),
!def(MSDOS),
def(__ZTC__),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(lint),
def(BADRAND),
(def(VMS)&!def(MSDOS)),
def(TEST_TERMDOC),
def(TEST_STRFTIME),
def(VMS),
def(PIPES),
True,
!def(HAVE_ERFC),
!def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
def(USE_SYSTEM_TIME),
!def(LITE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
