!def(MSDOS),
def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERF),
!def(NO_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
!def(USE_SYSTEM_TIME),
def(_Windows),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)),
def(PIPES),
def(BITMAPDEBUG),
(def(X11)&def(USE_MOUSE)),
!def(BADRAND),
!def(HAVE_ERFC),
def(PM3D),
!def(RELEASE_VERSION),
def(TEST_STRFTIME),
def(BADRAND),
!def(lint),
def(VMS),
!def(LITE),
def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
def(TEST_TIME),
def(__ZTC__),
def(MSDOS),
!def(BITMAPDEBUG),
def(TEST_TERMDOC),
def(PIPE_IPC),
