(def(X11)&def(USE_MOUSE)),
def(RELEASE_VERSION),
!def(HAVE_ERF),
def(__ZTC__),
def(NO_LOCALE_H),
def(TEST_TIME),
!def(BADRAND),
def(BITMAPDEBUG),
def(TEST_STRFTIME),
def(PIPES),
def(BADRAND),
def(MSDOS),
!def(lint),
!def(BITMAPDEBUG),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(RELEASE_VERSION),
!def(HAVE_ERFC),
def(USE_SYSTEM_TIME),
def(VMS),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PM3D),
(!def(MSDOS)&!def(VMS)),
!def(NO_LOCALE_H),
(def(VMS)&!def(BSD)),
True,
def(TEST_TERMDOC),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
!def(MSDOS),
def(PIPE_IPC),
