def(PROTOTYPES),
def(__ZTC__),
def(PIPES),
def(PM3D),
def(TEST_TIME),
!def(lint),
!def(MSDOS),
!def(GP_ISVAR),
(def(VMS)&!def(MSDOS)),
!def(PROTOTYPES),
(!def(MSDOS)&!def(VMS)),
!def(BITMAPDEBUG),
def(PIPE_IPC),
def(TEST_STRFTIME),
def(_Windows),
def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(BSD)),
True,
def(MSDOS),
def(VMS),
