def(VMS),
def(BADRAND),
!def(BADRAND),
def(TEST_TIME),
def(BITMAPDEBUG),
def(__ZTC__),
(def(VMS)&!def(MSDOS)),
!def(lint),
!def(HAVE_ERFC),
!def(BITMAPDEBUG),
def(_Windows),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(NO_LOCALE_H),
!def(NO_LOCALE_H),
!def(HAVE_ERF),
(def(VMS)&!def(BSD)),
(!def(MSDOS)&!def(VMS)),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TERMDOC),
def(TEST_STRFTIME),
!def(USE_SYSTEM_TIME),
!def(LITE),
def(MSDOS),
!def(MSDOS),
def(PIPES),
def(USE_SYSTEM_TIME),
