!def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
!def(HAVE_ERFC),
def(BADRAND),
def(_Windows),
!def(HAVE_ERF),
def(TEST_TIME),
def(PIPES),
def(TEST_TERMDOC),
def(TEST_STRFTIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(lint),
True,
(def(VMS)&!def(BSD)),
!def(LITE),
(def(VMS)&!def(MSDOS)),
!def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(BITMAPDEBUG),
def(USE_SYSTEM_TIME),
!def(BADRAND),
def(VMS),
(!def(MSDOS)&!def(VMS)),
def(NO_LOCALE_H),
def(__ZTC__),
def(MSDOS),
