def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(NO_LOCALE_H),
(def(X11)&def(USE_MOUSE)),
def(__ZTC__),
!def(HAVE_ERFC),
!def(lint),
def(MSDOS),
def(VMS),
def(PIPES),
def(RELEASE_VERSION),
!def(HAVE_ERF),
!def(MSDOS),
def(_Windows),
(def(VMS)&!def(MSDOS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
!def(BADRAND),
True,
def(TEST_STRFTIME),
!def(BITMAPDEBUG),
!def(RELEASE_VERSION),
def(NO_LOCALE_H),
def(BADRAND),
!def(USE_SYSTEM_TIME),
def(PM3D),
!def(LITE),
(!def(MSDOS)&!def(VMS)),
def(BITMAPDEBUG),
def(TEST_TIME),
def(USE_SYSTEM_TIME),
def(PIPE_IPC),
