(!def(AMIGA_SC_6_1)&!def(PM3D)),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(TEST_TERMDOC),
def(USE_MOUSE),
def(TEST_STRFTIME),
def(TEST_TIME),
def(PIPES),
!def(lint),
def(RELEASE_VERSION),
!def(AMIGA_SC_6_1),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
!def(EAM_HISTOGRAMS),
def(MSDOS),
def(PIPE_IPC),
!def(BINARY_DATA_FILE),
True,
(def(VMS)&!def(BSD)),
!def(MSDOS),
!def(RELEASE_VERSION),
def(BINARY_DATA_FILE),
def(BITMAPDEBUG),
!def(BITMAPDEBUG),
def(PM3D),
def(GP_MACROS),
!def(PROTOTYPES),
(!def(PIPE_IPC)&def(__ZTC__)),
!def(LITE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(GP_ISVAR),
(!def(PIPE_IPC)&def(VMS)),
def(USE_SYSTEM_TIME),
!def(USE_SYSTEM_TIME),
def(_Windows),
(!def(MSDOS)&!def(VMS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(EAM_DATASTRINGS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(GP_STRING_VARS),
def(PROTOTYPES),
def(EAM_HISTOGRAMS),
!def(GP_ISVAR),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(def(VMS)&!def(MSDOS)),
