!def(BADRAND),
def(TEST_TIME),
def(_Windows),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
!def(PROTOTYPES),
def(PM3D),
!def(lint),
!def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
def(PIPES),
def(RELEASE_VERSION),
!def(RELEASE_VERSION),
!def(MSDOS),
!def(BITMAPDEBUG),
def(USE_MOUSE),
(!def(MSDOS)&!def(VMS)),
def(PROTOTYPES),
def(BITMAPDEBUG),
def(__ZTC__),
def(BADRAND),
!def(HAVE_ERFC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(MSDOS),
def(PIPE_IPC),
def(VMS),
(def(VMS)&!def(BSD)),
True,
!def(LITE),
def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
