!def(LITE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_SYSTEM_TIME),
!def(MSDOS),
def(__ZTC__),
!def(GP_ISVAR),
def(MSDOS),
True,
def(TEST_TERMDOC),
def(VMS),
!def(lint),
def(TEST_TIME),
def(RELEASE_VERSION),
!def(PROTOTYPES),
def(PROTOTYPES),
def(PM3D),
(!def(MSDOS)&!def(VMS)),
!def(USE_SYSTEM_TIME),
def(PIPE_IPC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(MSDOS)),
def(USE_MOUSE),
def(_Windows),
!def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
!def(BITMAPDEBUG),
def(PIPES),
def(TEST_STRFTIME),
def(BITMAPDEBUG),
