!def(__PUREC__),
(def(VMS)&!def(MSDOS)),
(!def(PIPE_IPC)&def(__ZTC__)),
def(TEST_STRFTIME),
!def(BITMAPDEBUG),
def(USE_MOUSE),
def(BITMAPDEBUG),
def(EAM_HISTOGRAMS),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
def(USE_SYSTEM_TIME),
(!def(PIPE_IPC)&def(VMS)),
!def(lint),
(!def(MSDOS)&!def(VMS)),
!def(AMIGA_SC_6_1),
!def(RELEASE_VERSION),
def(GP_STRING_VARS),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
True,
def(MSDOS),
def(TEST_TIME),
def(PIPES),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
!def(MSDOS),
!def(EAM_HISTOGRAMS),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(PM3D),
def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(BSD)),
def(__PUREC__),
def(GP_MACROS),
def(_Windows),
def(BINARY_DATA_FILE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(APOLLO)&def(GP_STRING_VARS)),
!def(BINARY_DATA_FILE),
!def(LITE),
!def(USE_SYSTEM_TIME),
def(AMIGA_AC_5),
def(TEST_TERMDOC),
def(EAM_DATASTRINGS),
def(PIPE_IPC),
