!def(AMIGA_SC_6_1),
(!def(APOLLO)&def(GP_STRING_VARS)),
def(PM3D),
!def(lint),
def(PIPES),
def(BITMAPDEBUG),
def(_Windows),
def(EAM_DATASTRINGS),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
!def(MSDOS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
def(MSDOS),
!def(__PUREC__),
def(USE_MOUSE),
def(BINARY_DATA_FILE),
(!def(MSDOS)&!def(VMS)),
def(TEST_TIME),
def(GP_MACROS),
(!def(PIPE_IPC)&def(VMS)),
def(AMIGA_AC_5),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(__PUREC__),
def(TEST_TERMDOC),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
(def(VMS)&!def(MSDOS)),
!def(BITMAPDEBUG),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(EAM_HISTOGRAMS),
!def(RELEASE_VERSION),
def(GP_STRING_VARS),
(!def(PIPE_IPC)&def(__ZTC__)),
True,
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(def(VMS)&!def(BSD)),
def(TEST_STRFTIME),
!def(BINARY_DATA_FILE),
def(USE_SYSTEM_TIME),
!def(EAM_HISTOGRAMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PIPE_IPC),
!def(LITE),
